log(MSE-ICA-components),comp
6.27728636,40
4.207263038,40
5.281196308,40
5.130595681,40
6.480242485,40
5.395974436,40
4.625477124,40
6.94771728,40
7.166409408,40
7.773042803,40
7.081805494,40
5.972203588,40
7.211052345,40
6.4748645,40
4.355286205,40
6.843557618,40
4.143840499,40
3.776682639,40
6.091426974,40
3.130675442,40
5.787962495,40
7.386320585,40
4.452293769,40
6.695383713,40
6.41028899,40
4.68273165,40
3.395386259,40
6.392723306,40
5.209859715,40
6.095578673,40
5.092931321,40
6.520732382,40
5.579477477,40
4.254393211,40
6.450515523,40
6.407646484,40
7.085971039,40
5.91486337,40
7.627881788,40
8.65172389,40
5.232830805,40
9.176356436,40
5.455019154,40
6.102332111,40
5.905303805,40
4.816018242,40
5.936705565,40
3.099298654,40
3.855512073,40
5.038822235,40
5.977908339,40
4.83064281,40
6.57083898,40
7.5224348,40
5.565959894,40
5.279266735,40
5.146407496,40
7.618551137,40
4.670261924,40
5.84257818,40
3.984780754,40
6.849679553,40
8.93582639,40
6.574692765,40
6.154980578,40
8.480673335,40
5.784954165,40
2.940692764,40
5.530513085,40
4.890866646,40
6.46872504,40
4.889524584,40
3.495998343,40
8.03294339,40
6.706729849,40
8.149127437,40
5.416219007,40
8.038556496,40
7.691963289,40
4.65959167,40
3.666675065,40
4.434321986,40
4.793892494,40
6.273870925,40
4.455807348,40
4.192378422,40
5.935010608,40
6.839139038,40
5.892272112,40
3.722939011,40
7.151844256,40
5.414473238,40
6.926624036,40
5.12090874,40
7.20277675,40
7.855605197,40
6.482380288,40
6.599593311,40
6.985647026,40
6.953853151,40
8.84682339,40
7.469339013,40
5.076076251,40
6.788782468,40
5.821715058,40
2.570476516,40
6.077468117,40
7.058669718,40
4.807197577,40
6.490766601,40
8.324130135,40
6.061378915,40
6.894533984,40
7.061851815,40
4.274643769,40
6.336040446,40
7.086759904,40
5.112095881,40
4.772723859,40
8.835048286,40
4.550896509,40
6.648166368,40
6.595989633,40
5.588286004,40
6.233668574,40
5.218901389,40
7.251725547,40
6.187150708,40
5.050039389,40
6.005680231,40
4.433094302,40
5.834912814,40
5.177853127,40
6.075232899,40
5.913522265,40
4.916784508,40
6.068936415,40
5.91763725,40
4.65524867,40
6.445445487,40
5.56942671,40
7.072063844,40
4.878464815,40
4.142273081,40
6.714568661,40
5.515302221,40
5.755306229,40
8.419484684,40
5.031078884,40
3.779822688,40
5.388095946,40
5.783246308,40
6.702147915,40
2.396415463,40
5.827612008,40
5.908403487,40
7.293338582,40
5.920235031,40
5.796485462,40
4.835569334,40
8.810954365,40
6.730099639,40
5.169746706,40
7.71870329,40
7.450002643,40
6.086460901,40
7.12583438,40
7.03821345,40
5.829173935,40
3.805836818,40
6.755819795,40
2.53754696,40
5.603266738,40
6.254096626,40
5.774144925,40
5.715858667,40
5.098883241,40
3.329614795,40
4.373042843,40
6.526023245,40
5.73307567,40
6.042844187,40
5.211464585,40
5.083348112,40
5.510426013,40
6.386542799,40
