log(MSE-NMF-components),comp
5.149027608,40
4.022322051,40
3.554538582,40
5.217690814,40
6.037997971,40
5.537847287,40
4.225509252,40
6.818062698,40
6.627027566,40
7.13873338,40
6.499098828,40
6.023301645,40
5.077730777,40
5.914709825,40
4.232833465,40
6.717886539,40
4.320691189,40
3.887063519,40
5.809097472,40
3.154752582,40
5.246786408,40
5.368016897,40
4.158905256,40
5.948461467,40
4.976296404,40
4.191353959,40
3.380663286,40
4.847685076,40
4.754221259,40
6.063402601,40
4.296732615,40
6.215323388,40
5.441331633,40
4.378263995,40
6.480685787,40
4.687779787,40
6.183222017,40
5.698359369,40
7.511906512,40
8.750920804,40
4.597055995,40
9.203282932,40
5.561097816,40
6.25681747,40
5.669057925,40
4.946116196,40
5.992928281,40
3.333502844,40
3.8974254,40
4.507145234,40
5.432055075,40
4.987829707,40
6.560208576,40
7.512514745,40
5.551760993,40
5.328331903,40
5.131314162,40
7.530622013,40
3.904495354,40
5.137499332,40
3.990170702,40
5.397944843,40
9.021994877,40
4.880172918,40
6.179456344,40
8.537558147,40
5.520536296,40
3.088415882,40
5.545831094,40
2.509718596,40
6.458974119,40
4.998785783,40
3.582944026,40
7.95735233,40
6.645270864,40
6.180707515,40
5.439967823,40
6.122206499,40
6.062143649,40
4.136414069,40
3.850410862,40
4.505222883,40
4.630067766,40
5.998492065,40
4.022287341,40
4.392289495,40
4.198261241,40
6.303645873,40
3.898228034,40
3.825288468,40
6.487119958,40
5.182219702,40
6.215123164,40
4.575112975,40
4.29878048,40
7.946319141,40
6.266047194,40
6.497192115,40
6.833983425,40
6.644273904,40
8.937851136,40
5.705482841,40
5.173898901,40
6.872628749,40
5.570525819,40
2.258326197,40
6.200489644,40
6.957651573,40
4.515217364,40
5.703369232,40
6.390094443,40
6.148971318,40
6.219691227,40
5.722581558,40
4.216748119,40
5.514416019,40
7.150413378,40
5.052486251,40
4.906855808,40
8.893301061,40
4.457695779,40
7.533470621,40
3.708962235,40
5.557308804,40
6.24646011,40
5.272981326,40
7.031154432,40
5.667024717,40
5.012383135,40
4.340915754,40
3.806875751,40
5.253642187,40
5.240569943,40
5.983973524,40
5.606849493,40
4.968652004,40
6.158327767,40
5.067284212,40
4.739245559,40
6.289068264,40
5.484024579,40
6.22441408,40
4.803673784,40
4.185257725,40
5.259319358,40
5.481547743,40
3.588595684,40
8.358537002,40
5.172598395,40
3.463127543,40
5.145813356,40
5.494730354,40
5.538184493,40
2.526951041,40
5.264404423,40
4.317275689,40
7.299214033,40
5.5918997,40
3.20317149,40
4.401849906,40
8.822907719,40
6.343967102,40
5.143273,40
4.755848833,40
5.809521611,40
6.036157701,40
6.044221095,40
5.597056269,40
5.608564632,40
2.590196973,40
6.755643042,40
2.96645186,40
5.478643628,40
5.361334861,40
3.572380527,40
5.799104723,40
5.236496422,40
3.27344007,40
4.496020525,40
5.141487753,40
5.544509888,40
6.150557121,40
5.199817604,40
4.664589607,40
5.603296826,40
6.116836411,40
5.816018197,40
5.099343398,40
4.959619832,40
4.796243289,40
6.101586646,40
4.361716604,40
3.789031575,40
5.022186566,40
4.111808466,40
4.489498719,40
4.341511001,40
8.124630496,40
5.816646204,40
6.690239459,40
4.432161756,40
5.682184276,40
7.364809926,40
5.856492734,40
3.934972961,40
3.560598102,40
6.848831661,40
4.215163891,40
5.436271034,40
7.065462523,40
7.570240958,40
5.241330824,40
4.891989994,40
5.384135507,40
5.848885345,40
5.43595655,40
5.335784938,40
4.762168979,40
4.845651818,40
6.126162866,40
4.118477529,40
5.019957854,40
5.093489925,40
8.264828338,40
7.913340452,40
7.146897738,40
5.585865553,40
4.858707484,40
5.888071538,40
3.899667015,40
4.2373119,40
3.702886878,40
4.19041046,40
6.256437769,40
5.102325649,40
4.705314438,40
5.312300264,40
5.313586625,40
4.269864962,40
6.851874016,40
4.665628204,40
3.694333305,40
6.630774733,40
4.941841748,40
2.761149065,40
7.335460749,40
5.299369974,40
7.999238067,40
5.305628981,40
4.959286424,40
5.744587867,40
3.484758906,40
7.481419266,40
3.511830533,40
4.677568771,40
6.715206665,40
8.264619007,40
4.9216174,40
4.26688139,40
4.202042508,40
8.198525591,40
5.618595272,40
4.642255912,40
5.168744629,40
5.906399697,40
2.591637991,40
6.516390879,40
4.376574137,40
5.962416018,40
6.788478907,40
7.164218034,40
3.80220957,40
4.597417894,40
6.613888614,40
8.976999762,40
3.873143982,40
4.46664886,40
7.366737299,40
6.787491284,40
6.493402918,40
6.698364739,40
5.315953893,40
8.901303812,40
5.986193799,40
5.247459977,40
6.193922443,40
5.205806693,40
6.15012205,40
7.362737148,40
8.916017325,40
5.297024952,40
5.676724747,40
5.47613668,40
2.760860594,40
4.94695708,40
3.619191794,40
5.603142887,40
5.829516492,40
6.345364236,40
5.252098935,40
6.84217854,40
6.650550275,40
4.643442644,40
5.009982921,40
4.988796275,40
4.134148461,40
4.713676657,40
4.88665243,40
4.93919235,40
6.898352015,40
4.931968025,40
4.855965952,40
4.733015545,40
5.741273586,40
5.663542158,40
5.348669754,40
6.844440179,40
5.444735349,40
5.784008647,40
7.371858096,40
4.749377534,40
3.678982619,40
5.220702181,40
7.215697761,40
4.233163996,40
3.35672421,40
2.728525983,40
5.240916237,40
5.531828497,40
7.360355022,40
5.652332939,40
5.808806874,40
5.947528133,40
7.295826394,40
5.798339835,40
4.406630668,40
3.940344043,40
6.263322634,40
0.343159336,40
3.796883111,40
6.51336605,40
5.115389486,40
3.471034284,40
2.964891209,40
6.227796173,40
5.521489848,40
5.831769484,40
7.844277731,40
6.986303613,40
3.223723674,40
6.802063084,40
2.422560277,40
4.764079337,40
5.673906182,40
5.768904236,40
5.367575055,40
2.716737334,40
4.340833274,40
6.594323489,40
5.311713714,40
4.755609677,40
3.193474129,40
6.123950935,40
5.304388378,40
3.160099317,40
4.802761402,40
5.524109081,40
7.625984088,40
2.020882827,40
7.07251715,40
5.635370249,40
5.40355012,40
6.087601411,40
4.421437844,40
2.463544121,40
4.726059963,40
7.031087276,40
7.186588109,40
4.668996106,40
3.134370405,40
5.774278129,40
5.277891981,40
3.923974917,40
6.126374417,40
5.436589738,40
4.75280129,40
6.376195759,40
4.866556941,40
5.569256936,40
7.012475419,40
5.670827257,40
4.334718774,40
4.708759679,40
6.324693069,40
4.920596991,40
6.834893987,40
7.159412734,40
3.825094078,40
7.514441784,40
5.185099149,40
4.441802867,40
5.679085103,40
5.63374312,40
5.66654759,40
3.822596272,40
4.276117288,40
6.515025504,40
6.908889843,40
3.015725318,40
3.481328821,40
5.174004824,40
4.608457319,40
5.481127085,40
5.314835762,40
5.488916162,40
4.514450604,40
3.955356589,40
4.989535757,40
4.905300775,40
6.886738153,40
5.418514749,40
5.002477722,40
6.665624372,40
4.486135948,40
4.997124016,40
7.454638513,40
4.415335798,40
5.619373466,40
3.182555832,40
4.858332864,40
4.299498904,40
3.304035564,40
6.49757333,40
6.397918952,40
6.749663825,40
6.045999389,40
5.286497064,40
5.040131973,40
9.073524801,40
4.466240074,40
4.759276178,40
5.555357011,40
5.078030373,40
3.99092173,40
4.721527645,40
4.854515429,40
5.470773615,40
6.52489845,40
4.252388671,40
5.183405238,40
5.143901683,40
7.464372863,40
5.607164275,40
4.454221315,40
6.137825391,40
5.410996525,40
7.675186156,40
7.749868961,40
3.116318992,40
6.254973299,40
5.524479125,40
6.573308879,40
4.077216699,40
4.770475247,40
5.714688264,40
9.058390696,40
5.491664886,40
5.698680267,40
5.886811873,40
2.223920575,40
5.683181974,40
5.953609874,40
6.992507755,40
5.050646218,40
4.94725138,40
4.632583792,40
7.306262173,40
5.8828507,40
4.767408711,40
6.909188547,40
3.390510187,40
5.291680631,40
4.403006525,40
6.125151229,40
8.666950101,40
4.917462731,40
4.048637219,40
4.906764396,40
7.268544926,40
5.715007235,40
8.159073404,40
6.221915017,40
7.624618405,40
5.357679919,40
5.713840115,40
3.311577514,40
6.469708993,40
7.292329791,40
5.754671014,40
5.625579568,40
5.55082504,40
4.896723806,40
5.476603872,40
5.9674908,40
5.862970191,40
5.079497949,40
5.718638164,40
5.785642331,40
6.839751336,40
4.88030492,40
3.950143894,40
7.299966271,40
6.072444269,40
5.421532265,40
5.778889173,40
6.205667709,40
7.140006569,40
7.957705792,40
1.992814335,40
7.723938857,40
6.214032707,40
3.044927803,40
7.118124581,40
4.156396866,40
6.453870311,40
3.789143731,40
5.953697388,40
2.163662871,40
4.195659966,40
5.64318734,40
4.951261689,40
0.582774328,40
4.910602381,40
4.703720378,40
5.27547413,40
6.593689376,40
4.768081426,40
5.073564913,40
6.680187703,40
2.563418787,40
4.27335691,40
3.80747054,40
5.159578258,40
4.332304163,40
7.017395046,40
4.878420464,40
4.995292981,40
5.24059799,40
7.308117566,40
6.957260723,40
5.545570996,40
8.210829595,40
5.573808445,40
4.633293632,40
5.774003501,40
3.327264831,40
7.388449856,40
2.449238781,40
5.255245509,40
5.418505413,40
5.228144595,40
7.394476029,40
4.000525173,40
4.344369838,40
4.530237829,40
5.66943732,40
5.042078681,40
5.24487276,40
2.278110467,40
4.1091777,40
6.002561311,40
6.741412069,40
2.631101001,40
6.122144741,40
5.327920537,40
4.680638284,40
7.46628433,40
5.7398511,40
6.086656117,40
6.148517136,40
7.10130611,40
3.568414526,40
4.430266786,40
5.399068291,40
3.45049459,40
8.437351518,40
3.617084444,40
8.502986577,40
8.247491564,40
5.346814301,40
3.95253167,40
5.119704531,40
4.640011293,40
2.54215188,40
7.694380038,40
5.866111076,40
4.780820394,40
5.578110797,40
6.090294899,40
6.486551975,40
5.284662319,40
6.332638309,40
5.816719078,40
6.25278715,40
2.123467626,40
4.506009892,40
5.698764668,40
4.254435034,40
4.822026435,40
1.94200938,40
7.033851645,40
4.525258733,40
4.842157411,40
6.719093186,40
2.670656188,40
4.932976463,40
3.17150677,40
4.753941608,40
3.331390559,40
4.464232107,40
4.756798068,40
5.325393239,40
4.416885205,40
2.477912798,40
4.69611948,40
5.788855235,40
6.240028075,40
5.678130691,40
4.386196738,40
6.229309499,40
5.147018946,40
6.326741934,40
6.257340727,40
3.93163892,40
7.138299369,40
8.333983271,40
4.540684723,40
5.626471598,40
4.411234757,40
6.195206344,40
4.858941683,40
5.858285396,40
3.623817521,40
4.874466731,40
5.152974461,40
6.004572159,40
4.904153137,40
4.399102227,40
4.170683096,40
6.551859864,40
6.766256088,40
2.274821325,40
