log(MSE-PCA-components),comp,log(MSE-PCA-50-components),log(MSE-PCA-55-components),log(MSE-PCA-60-components)
5.191764853,40,,,
2.97792404,40,,,
6.271113869,40,,,
5.431071394,40,,,
4.586307641,40,,,
5.727231579,40,,,
0.362140935,40,,,
6.614379784,40,,,
6.647863983,40,,,
5.885892548,40,,,
6.619731738,40,,,
6.142668625,40,,,
6.507702318,40,,,
5.110890392,40,,,
3.446355178,40,,,
5.846640691,40,,,
5.773591202,40,,,
4.201039789,40,,,
0.599988463,40,,,
5.528991391,40,,,
6.703416108,40,,,
6.308720468,40,,,
5.47207556,40,,,
5.659529958,40,,,
7.37515662,40,,,
4.16976705,40,,,
6.096224991,40,,,
6.016838326,40,,,
5.128332786,40,,,
7.862161688,40,,,
6.505433617,40,,,
8.393174525,40,,,
3.370860552,40,,,
4.073742192,40,,,
5.978711143,40,,,
5.712237485,40,,,
3.54238114,40,,,
8.501006277,40,,,
5.602686332,40,,,
6.949337258,40,,,
6.770691514,40,,,
6.879958282,40,,,
6.420049103,40,,,
5.998499111,40,,,
4.178739685,40,,,
4.364680982,40,,,
6.296863547,40,,,
5.729556363,40,,,
7.919620549,40,,,
6.395893759,40,,,
7.178329137,40,,,
6.144712186,40,,,
4.754876232,40,,,
6.177005765,40,,,
6.579027667,40,,,
2.589898216,40,,,
6.278061723,40,,,
8.894767121,40,,,
3.938884627,40,,,
2.618331861,40,,,
7.195192757,40,,,
6.369831114,40,,,
6.005716598,40,,,
6.511656584,40,,,
6.520438185,40,,,
5.10669537,40,,,
6.647480468,40,,,
8.117391324,40,,,
6.45737544,40,,,
4.966114476,40,,,
6.33208119,40,,,
3.55149456,40,,,
7.830260972,40,,,
4.563229224,40,,,
5.052179684,40,,,
6.592257979,40,,,
7.488172283,40,,,
6.244956402,40,,,
2.142432961,40,,,
5.799733087,40,,,
6.626826475,40,,,
6.596900365,40,,,
5.426680761,40,,,
6.262957201,40,,,
3.767951819,40,,,
7.145511887,40,,,
6.507849913,40,,,
4.415409221,40,,,
7.58597006,40,,,
6.500536597,40,,,
4.655943623,40,,,
4.00804621,40,,,
6.673592992,40,,,
5.955881406,40,,,
4.541726118,40,,,
5.315909291,40,,,
5.886193758,40,,,
3.869151055,40,,,
6.549581606,40,,,
5.20158213,40,,,
5.826948133,40,,,
3.939902821,40,,,
6.811491379,40,,,
5.150507005,40,,,
6.297030662,40,,,
7.518409065,40,,,
5.496744141,40,,,
3.015503934,40,,,
8.62823487,40,,,
5.487782057,40,,,
5.863484472,40,,,
4.192462114,40,,,
8.449382856,40,,,
5.44479611,40,,,
7.016976758,40,,,
5.982433988,40,,,
4.894923629,40,,,
5.343090408,40,,,
7.635476178,40,,,
6.237293679,40,,,
9.355897017,40,,,
7.360771216,40,,,
6.881565994,40,,,
6.284102362,40,,,
4.958579198,40,,,
5.772061597,40,,,
8.706665618,40,,,
7.944612295,40,,,
7.323889003,40,,,
6.220615773,40,,,
3.888608933,40,,,
4.746242199,40,,,
3.891032447,40,,,
5.982153642,40,,,
5.857287281,40,,,
3.592851778,40,,,
6.918934954,40,,,
7.859938914,40,,,
4.01526782,40,,,
7.331041099,40,,,
4.676151009,40,,,
6.682917942,40,,,
5.241052459,40,,,
4.274754613,40,,,
3.052994315,40,,,
6.025711531,40,,,
6.450280573,40,,,
6.990439884,40,,,
6.226851626,40,,,
5.52553306,40,,,
5.538069843,40,,,
7.168248569,40,,,
6.759298515,40,,,
6.778116899,40,,,
6.999122871,40,,,
6.026406667,40,,,
5.126558873,40,,,
5.991930213,40,,,
6.271128463,40,,,
5.000601912,40,,,
4.394382843,40,,,
4.517399188,40,,,
6.336464586,40,,,
6.046450058,40,,,
4.00640502,40,,,
7.673983004,40,,,
7.271391622,40,,,
5.346880222,40,,,
7.560562534,40,,,
7.653106336,40,,,
7.787992995,40,,,
4.100044231,40,,,
4.006909178,40,,,
4.663248917,40,,,
4.989074983,40,,,
6.9271168,40,,,
4.063850694,40,,,
6.882261549,40,,,
6.363419468,40,,,
4.942085483,40,,,
7.928682939,40,,,
4.151987904,40,,,
4.665317758,40,,,
5.438435372,40,,,
4.307632373,40,,,
7.491281162,40,,,
5.460253431,40,,,
7.947835974,40,,,
6.259303237,40,,,
4.224690988,40,,,
5.802373685,40,,,
5.621120976,40,,,
8.746351438,40,,,
3.996404712,40,,,
7.318240511,40,,,
4.312952902,40,,,
7.119877564,40,,,
5.375827714,40,,,
5.029795549,40,,,
6.518448943,40,,,
3.246759795,40,,,
7.270865809,40,,,
7.517099702,40,,,
6.829395231,40,,,
5.389189055,40,,,
7.700633002,40,,,
5.050285313,40,,,
5.376036468,40,,,
3.305139751,40,,,
5.22874054,40,,,
4.819471045,40,,,
8.716620286,40,,,
4.849913849,40,,,
8.708529066,40,,,
4.912931413,40,,,
4.047162944,40,,,
4.282548215,40,,,
5.027425812,40,,,
6.31296077,40,,,
6.560904789,40,,,
5.140550027,40,,,
3.252571708,40,,,
6.032244768,40,,,
5.591018295,40,,,
1.940044504,40,,,
6.724992298,40,,,
6.399772418,40,,,
2.281582069,40,,,
4.745283284,40,,,
2.834445853,40,,,
5.119561588,40,,,
2.719545964,40,,,
3.291355449,40,,,
8.289565798,40,,,
5.269864406,40,,,
7.424842966,40,,,
8.227191198,40,,,
5.643896795,40,,,
7.829766811,40,,,
6.675774038,40,,,
3.788633577,40,,,
5.172526412,40,,,
8.985444688,40,,,
5.754051115,40,,,
6.412697128,40,,,
4.526605369,40,,,
7.285075225,40,,,
5.71332431,40,,,
8.116448765,40,,,
5.765233195,40,,,
3.459260995,40,,,
1.999127795,40,,,
5.291718186,40,,,
6.149842012,40,,,
5.467744163,40,,,
1.910340165,40,,,
5.234981003,40,,,
7.24569033,40,,,
8.140540815,40,,,
5.586325619,40,,,
4.46538743,40,,,
6.141762283,40,,,
4.575795966,40,,,
2.613288475,40,,,
6.696298409,40,,,
7.238162648,40,,,
6.094799017,40,,,
6.022493519,40,,,
5.100572549,40,,,
7.511097787,40,,,
5.15687293,40,,,
7.367460249,40,,,
6.833601473,40,,,
7.022112844,40,,,
6.625498891,40,,,
6.198573273,40,,,
5.14971155,40,,,
7.071071343,40,,,
6.835140728,40,,,
5.686066554,40,,,
2.917198157,40,,,
2.884366382,40,,,
5.562243439,40,,,
4.027135377,40,,,
6.434421036,40,,,
4.634229323,40,,,
5.097485644,40,,,
5.501428721,40,,,
5.414954387,40,,,
6.704770853,40,,,
5.931999074,40,,,
5.757260421,40,,,
1.074676988,40,,,
5.371639922,40,,,
7.590670042,40,,,
5.240917934,40,,,
7.158400078,40,,,
2.512522935,40,,,
5.285836159,40,,,
3.498410324,40,,,
4.874035233,40,,,
3.269396726,40,,,
4.074492434,40,,,
3.382601576,40,,,
6.616651935,40,,,
5.622846963,40,,,
6.528446481,40,,,
3.205626822,40,,,
7.615595831,40,,,
4.757228573,40,,,
6.453741391,40,,,
6.570126426,40,,,
2.772302579,40,,,
7.257214844,40,,,
3.567808472,40,,,
5.375274593,40,,,
4.875324511,40,,,
7.323438854,40,,,
5.686919958,40,,,
6.063029471,40,,,
4.276282456,40,,,
6.480123006,40,,,
7.42584355,40,,,
8.117185681,40,,,
8.375024116,40,,,
4.862454477,40,,,
4.466156262,40,,,
4.643549404,40,,,
5.433476633,40,,,
4.263240856,40,,,
4.366367211,40,,,
6.841312651,40,,,
8.26113973,40,,,
6.127434699,40,,,
6.987574272,40,,,
6.329925151,40,,,
7.440787264,40,,,
5.539020383,40,,,
6.509230478,40,,,
2.184338083,40,,,
6.175635348,40,,,
6.89477261,40,,,
6.230977295,40,,,
7.080513224,40,,,
5.424376203,40,,,
4.675614315,40,,,
6.35674671,40,,,
5.682105325,40,,,
6.490593815,40,,,
4.347560546,40,,,
6.087866106,40,,,
6.453559829,40,,,
3.883557721,40,,,
2.423018963,40,,,
3.908415432,40,,,
