log(MSE-Trunc-SVD-components),comp
6.290443198,40
4.195674903,40
5.263479302,40
5.177137445,40
6.186062367,40
5.403753578,40
4.644975551,40
6.953908302,40
7.245985635,40
7.780448479,40
7.08079658,40
5.978424534,40
7.22471323,40
6.513849236,40
4.419500011,40
6.895054326,40
4.18556977,40
3.798017578,40
6.095851402,40
3.18695007,40
5.785793646,40
7.378547991,40
4.414511358,40
6.677587086,40
6.449782528,40
4.655240397,40
3.513872996,40
6.388714392,40
5.260512454,40
6.077328199,40
5.112495887,40
6.527962513,40
5.566558155,40
4.265021614,40
6.429436757,40
6.562238553,40
6.575529415,40
5.907634113,40
7.602751815,40
8.716028579,40
5.300570076,40
9.211340138,40
5.483295634,40
6.282939276,40
5.915648562,40
4.833672279,40
5.957425631,40
3.13905643,40
3.796597152,40
4.975719413,40
5.960139382,40
4.848518996,40
6.569966374,40
7.529315942,40
5.522801511,40
5.282820482,40
5.195078622,40
7.612071964,40
4.566657072,40
5.513306791,40
4.200343073,40
6.828589003,40
9.030983557,40
6.610428046,40
6.162922785,40
8.609660264,40
5.784656089,40
2.958270937,40
5.592528808,40
4.892083912,40
6.476229031,40
4.937052853,40
3.643543401,40
8.036965941,40
6.730134813,40
8.132721264,40
5.432354174,40
8.063015096,40
7.672152098,40
4.638236056,40
3.694706939,40
4.447428931,40
4.853146751,40
6.25776013,40
4.397764605,40
4.231036771,40
5.829277351,40
6.848787945,40
5.958067092,40
3.745767136,40
7.151682398,40
5.413503242,40
6.932489469,40
5.155475977,40
7.185689279,40
7.802595727,40
6.495072382,40
6.59090604,40
6.97331314,40
6.959270869,40
8.852587621,40
7.455846831,40
5.089586661,40
6.827719576,40
5.827170478,40
2.652333332,40
6.124137331,40
7.075080175,40
4.791354031,40
6.461283957,40
8.311372488,40
6.071635162,40
6.869039321,40
7.099092771,40
4.32897563,40
6.364647118,40
7.094084919,40
5.120349387,40
4.765097129,40
8.930751727,40
4.577982956,40
6.857781369,40
6.62458616,40
5.603018741,40
6.224985735,40
5.228669951,40
7.242679425,40
